CCE ID v5,CCE Title,USGCB Setting,Technical Mechanism,Configuration Details,Rationale,Impact,800-53 Mapping,National Information Assurance Partnership Operating System Protection Profile,Center for Internet Security,Defense Information Systems Agency Security Security Requirements Guide,Configuration Group
CCE-80876-6,Disable debug-shell SystemD Service,disable,via systemctl,"SystemD&#39;s debug-shell service is intended to
diagnose SystemD related boot issues with various systemctl
commands. Once enabled and following a system reboot, the root shell
will be available on tty9 which is access by pressing
CTRL-ALT-F9. The debug-shell service should only be used
for SystemD related issues and should otherwise be disabled.

By default, the debug-shell SystemD service is already disabled.

The debug-shell service can be disabled with the following command:
$ sudo systemctl disable debug-shell.service
The debug-shell service can be masked with the following command:
$ sudo systemctl mask debug-shell.service","This prevents attackers with physical access from trivially bypassing security
on the machine through valid troubleshooting configurations and gaining root
access when the system is rebooted.",medium,,FIA_UAU.1,,SRG-OS-000324-GPOS-00125,Protect Physical Console Access
CCE-80826-1,Verify that Interactive Boot is Disabled,verify,via grub,"Red Hat Enterprise Linux 8 systems support an &#34;interactive boot&#34; option that can
be used to prevent services from being started. On a Red Hat Enterprise Linux 8
system, interactive boot can be enabled by providing a 1,
yes, true, or on value to the
systemd.confirm_spawn kernel argument in /etc/default/grub.
Remove any instance of systemd.confirm_spawn=(1|yes|true|on) from
the kernel arguments in that file to disable interactive boot. It is also
required to change the runtime configuration, run:
/sbin/grubby --update-kernel=ALL --remove-args=&#34;systemd.confirm_spawn&#34;","Using interactive boot, the console user could disable auditing, firewalls,
or other services, weakening system security.",medium,"CM-6(a),SC-2(1)",FIA_UAU.1,,SRG-OS-000480-GPOS-00227,Protect Physical Console Access
CCE-80785-9,Disable Ctrl-Alt-Del Reboot Activation,disable,via systemctl,"
By default, SystemD will reboot the system if the Ctrl-Alt-Del
key sequence is pressed.

To configure the system to ignore the Ctrl-Alt-Del key sequence from the
command line instead of rebooting the system, do either of the following:
ln -sf /dev/null /etc/systemd/system/ctrl-alt-del.target
or
systemctl mask ctrl-alt-del.target

Do not simply delete the /usr/lib/systemd/system/ctrl-alt-del.service file,
as this file may be restored during future system updates.","A locally logged-in user who presses Ctrl-Alt-Del, when at the console,
can reboot the system. If accidentally pressed, as could happen in
the case of mixed OS environment, this can create the risk of short-term
loss of availability of systems due to unintentional reboot.",high,"AC-6(1),CM-6(a)",,,"SRG-OS-000324-GPOS-00125,SRG-OS-000480-GPOS-00227",Protect Physical Console Access
CCE-82186-8,Require Authentication for Emergency Systemd Target,verify,via systemctl,"Emergency mode is intended as a system recovery
method, providing a single user root access to the system
during a failed boot sequence.

By default, Emergency mode is protected by requiring a password and is set
in /usr/lib/systemd/system/emergency.service.","This prevents attackers with physical access from trivially bypassing security
on the machine and gaining root access. Such accesses are further prevented
by configuring the bootloader password.",medium,"AC-3,CM-6(a),IA-2",FIA_UAU.1,1.5.3,SRG-OS-000080-GPOS-00048,Protect Physical Console Access
CCE-80855-0,Require Authentication for Single User Mode,verify,via systemctl,"Single-user mode is intended as a system recovery
method, providing a single user root access to the system by
providing a boot option at startup. By default, no authentication
is performed if single-user mode is selected.


By default, single-user mode is protected by requiring a password and is set
in /usr/lib/systemd/system/rescue.service.","This prevents attackers with physical access from trivially bypassing security
on the machine and gaining root access. Such accesses are further prevented
by configuring the bootloader password.",medium,"AC-3,CM-6(a),IA-2",FIA_UAU.1,1.5.3,SRG-OS-000080-GPOS-00048,Protect Physical Console Access
CCE-80784-2,Disable Ctrl-Alt-Del Burst Action,CtrlAltDelBurstAction=none,via /etc/systemd/system.conf,"By default, SystemD will reboot the system if the Ctrl-Alt-Del
key sequence is pressed Ctrl-Alt-Delete more than 7 times in 2 seconds.

To configure the system to ignore the CtrlAltDelBurstAction
setting, add or modify the following to /etc/systemd/system.conf:
CtrlAltDelBurstAction=none","A locally logged-in user who presses Ctrl-Alt-Del, when at the console,
can reboot the system. If accidentally pressed, as could happen in
the case of mixed OS environment, this can create the risk of short-term
loss of availability of systems due to unintentional reboot.",high,"AC-6(1),CM-6(a),CM-6(a)",,,SRG-OS-000324-GPOS-00125,Protect Physical Console Access
CCE-80846-9,Install the opensc Package For Multifactor Authentication,install,via yum,"The opensc package can be installed with the following command:

$ sudo yum install opensc","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,CM-6(a),,,SRG-OS-000375-GPOS-00160,Hardware Tokens for Authentication
CCE-80993-9,Install the pcsc-lite package,install,via yum,"The pcsc-lite package can be installed with the following command:

$ sudo yum install pcsc-lite","The pcsc-lite package must be installed if it is to be available for
multifactor authentication using smartcards.",medium,CM-6(a),,,SRG-OS-000375-GPOS-00160,Hardware Tokens for Authentication
CCE-80881-6,Enable the pcscd Service,enable,via systemctl,"
The pcscd service can be enabled with the following command:
$ sudo systemctl enable pcscd.service","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,SRG-OS-000375-GPOS-00160,Hardware Tokens for Authentication
CCE-80766-9,Configure opensc Smart Card Drivers,True,via /etc/opensc-ARCH.conf,"The OpenSC smart card tool can auto-detect smart card drivers; however,
setting the smart card drivers in use by your organization helps to prevent
users from using unauthorized smart cards. The default smart card driver for this
profile is .
To configure the OpenSC driver, edit the /etc/opensc-ARCH.conf (where
ARCH is the architecture of your operating system) file. Look for a
line similar to:
# card_drivers = old, internal;
and change it to:
card_drivers = ;","Smart card login provides two-factor authentication stronger than
that provided by a username and password combination. Smart cards leverage PKI
(public key infrastructure) in order to provide and verify credentials.
Configuring the smart card driver in use by your organization helps to prevent
users from using unauthorized smart cards.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,"SRG-OS-000104-GPOS-00051,SRG-OS-000106-GPOS-00053,SRG-OS-000107-GPOS-00054,SRG-OS-000108-GPOS-00055,SRG-OS-000108-GPOS-00057,SRG-OS-000108-GPOS-00058,SRG-OS-000109-GPOS-00056",Hardware Tokens for Authentication
CCE-80821-2,Force opensc To Use Defined Smart Card Driver,cac,via /etc/opensc-ARCH.conf,"The OpenSC smart card tool can auto-detect smart card drivers; however by
forcing the smart card driver in use by your organization, opensc will no longer
autodetect or use other drivers unless specified. This helps to prevent
users from using unauthorized smart cards. The default smart card driver for this
profile is .
To force the OpenSC driver, edit the /etc/opensc-ARCH.conf (where
ARCH is the architecture of your operating system) file. Look for a line
similar to:
# force_card_driver = customcos;
and change it to:
force_card_driver = ;","Smart card login provides two-factor authentication stronger than
that provided by a username and password combination. Smart cards leverage PKI
(public key infrastructure) in order to provide and verify credentials.
Forcing the smart card driver in use by your organization helps to prevent
users from using unauthorized smart cards.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,"SRG-OS-000104-GPOS-00051,SRG-OS-000106-GPOS-00053,SRG-OS-000107-GPOS-00054,SRG-OS-000108-GPOS-00055,SRG-OS-000108-GPOS-00057,SRG-OS-000108-GPOS-00058,SRG-OS-000109-GPOS-00056",Hardware Tokens for Authentication
CCE-82475-5,Configure Smart Card Certificate Status Checking,ocsp_on,via /etc/pam_pkcs11/pam_pkcs11.conf,"Configure the operating system to do certificate status checking for PKI
authentication. Modify all of the cert_policy lines in
/etc/pam_pkcs11/pam_pkcs11.conf to include ocsp_on like so:
cert_policy = ca, ocsp_on, signature;","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,,,,"SRG-OS-000375-GPOS-00160,SRG-OS-000376-GPOS-00161,SRG-OS-000377-GPOS-00162,SRG-OS-000384-GPOS-00167",Hardware Tokens for Authentication
CCE-80644-8,Install the tmux Package,install,via yum,"To enable console screen locking, install the tmux package.
The tmux package can be installed with the following command:

$ sudo yum install tmux
Instruct users to begin new terminal sessions with the following command:
$ tmux
The console can now be locked with the following key combination:
ctrl+b :lock-session","A session time-out lock is a temporary action taken when a user stops work and moves away from the immediate
physical vicinity of the information system but does not logout because of the temporary nature of the absence.
Rather than relying on the user to manually lock their operation system session prior to vacating the vicinity,
operating systems need to be able to identify when a user&#39;s session has idled and take action to initiate the
session lock.

The tmux package allows for a session lock to be implemented and configured.",medium,CM-6(a),FMT_MOF_EXT.1,,SRG-OS-000030-GPOS-00011,Configure Console Screen Locking
CCE-80940-0,Configure the tmux Lock Command,vlock,via /etc/tmux.conf,"To enable console screen locking in tmux terminal multiplexer,
the vlock command must be configured to be used as a locking
mechanism.
Add the following line to /etc/tmux.conf:
set -g lock-command vlock.
The console can now be locked with the following key combination:
ctrl+b :lock-session","The tmux package allows for a session lock to be implemented and configured.
However, the session lock is implemented by an external command. The tmux
default configuration does not contain an effective session lock.",medium,"AC-11(a),AC-11(b),CM-6(a)",,,SRG-OS-000028-GPOS-00009,Configure Console Screen Locking
CCE-82199-1,Configure tmux to lock session after inactivity,900,via /etc/tmux.conf,"To enable console screen locking in tmux terminal multiplexer
after a period of inactivity,
the lock-after-time option has to be set to nonzero value in
/etc/tmux.conf.","Locking the session after a period of inactivity limits the
potential exposure if the session is left unattended.",medium,,FMT_SMF_EXT.1,,SRG-OS-000029-GPOS-00010,Configure Console Screen Locking
CCE-82266-8,Support session locking with tmux,exec tmux,via /etc/tmux.conf,"The tmux terminal multiplexer is used to implement
automatic session locking. It should be started from
/etc/bashrc.","Unlike bash itself, the tmux terminal multiplexer
provides a mechanism to lock sessions after period of inactivity.",medium,,FMT_SMF_EXT.1,,SRG-OS-000031-GPOS-00012,Configure Console Screen Locking
CCE-82361-7,Prevent user from disabling the screen lock,remove,via /etc/shells,"The tmux terminal multiplexer is used to implement
autimatic session locking. It should not be listed in
/etc/shells.","Not listing tmux among permitted shells
prevents malicious program running as user
from lowering security by disabling the screen lock.",medium,,FMT_SMF_EXT.1,,SRG-OS-000324-GPOS-00125,Configure Console Screen Locking
CCE-83434-1,All Interactive User Home Directories Must Be Group-Owned By The Primary User,USER GID,via chgrp,"Change the group owner of interactive users home directory to the
group found in /etc/passwd. To change the group owner of
interactive users home directory, use the following command:
$ sudo chgrp USER_GROUP /home/USER","If the Group Identifier (GID) of a local interactive users home directory is
not the same as the primary GID of the user, this would allow unauthorized
access to the users files, and users that share the same group may not be
able to access files that they legitimately should.",medium,,,6.2.8,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80955-8,Limit the Number of Concurrent Login Sessions Allowed Per User,10,via /etc/security/limits.conf,"Limiting the number of allowed users and sessions per user can limit risks related to Denial of
Service attacks. This addresses concurrent sessions for a single account and does not address
concurrent sessions by a single user via multiple accounts. To set the number of concurrent
sessions per user add the following line in /etc/security/limits.conf or
a file under /etc/security/limits.d/:
* hard maxlogins ","Limiting simultaneous user logins can insulate the system from denial of service
problems caused by excessive logins. Automated login processes operating improperly or
maliciously may result in an exceptional number of simultaneous login sessions.",low,"AC-10,CM-6(a)",,,SRG-OS-000027-GPOS-00008,Secure Session Configuration Files for Login Accounts
CCE-83424-2,All Interactive Users Home Directories Must Exist,USERNAME,via mkdir,"Create home directories to all interactive users that currently do not
have a home directory assigned. Use the following commands to create the user
home directory assigned in /etc/passwd:
$ sudo mkdir /home/USER","If a local interactive user has a home directory defined that does not exist,
the user may be given access to the / directory as the current working directory
upon logon. This could create a Denial of Service because the user would not be
able to access their logon configuration files, and it may give them visibility
to system files they normally would not be able to access.",medium,,,6.2.20,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80673-7,Set Interactive Session Timeout,600,TMOUT,"Setting the TMOUT option in /etc/profile ensures that
all user sessions will terminate based on inactivity. The TMOUT
setting in /etc/profile should read as follows:
TMOUT=","Terminating an idle session within a short time period reduces
the window of opportunity for unauthorized personnel to take control of a
management session enabled on the console or console port that has been
left unattended.",medium,"AC-12,AC-2(5),CM-6(a),SC-10",FMT_MOF_EXT.1,5.5.3,SRG-OS-000163-GPOS-00072,Secure Session Configuration Files for Login Accounts
CCE-84274-0,Ensure that User Home Directories are not Group-Writable or World-Readable,750,via chmod,"For each human user of the system, view the
permissions of the user&#39;s home directory:
# ls -ld /home/USER
Ensure that the directory is not group-writable and that it
is not world-readable. If necessary, repair the permissions:
# chmod g-w /home/USER
# chmod o-rwx /home/USER","User home directories contain many configuration files which
affect the behavior of a user&#39;s account. No user should ever have
write permission to another user&#39;s home directory. Group shared
directories can be configured in sub-directories or elsewhere in the
filesystem if they are needed. Typically, user home directories
should not be world-readable, as it would disclose file names
to other users. If a subset of users need read access
to one another&#39;s home directories, this can be provided using
groups or ACLs.",medium,"AC-6(1),CM-6(a),CM-6(a)",,6.2.7,,Secure Session Configuration Files for Login Accounts
CCE-83789-8,Ensure Home Directories are Created for New Users,yes,via /etc/login.defs,"All local interactive user accounts, upon creation, should be assigned a home directory.

Configure the operating system to assign home directories to all new local interactive users by setting the CREATE_HOME
parameter in /etc/login.defs to yes as follows:

CREATE_HOME yes","If local interactive users are not assigned a valid home directory, there is no place
for the storage and control of files they should own.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-81035-8,Ensure the Default Umask is Set Correctly in /etc/profile,“077”,via UMASK,"To ensure the default umask controlled by /etc/profile is set properly,
add or correct the umask setting in /etc/profile to read as follows:
umask ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read or
written to by unauthorized users.",unknown,"AC-6(1),CM-6(a)",,5.4.4,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-81037-4,Ensure the Default C Shell Umask is Set Correctly,“077”,via UMASK,"To ensure the default umask for users of the C shell is set properly,
add or correct the umask setting in /etc/csh.cshrc to read as follows:
umask ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read or
written to by unauthorized users.",unknown,"AC-6(1),CM-6(a)",,,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-81036-6,Ensure the Default Bash Umask is Set Correctly,“077”,via UMASK,"To ensure the default umask for users of the Bash shell is set properly,
add or correct the umask setting in /etc/bashrc to read
as follows:
umask ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read or
written to by unauthorized users.",unknown,"AC-6(1),CM-6(a)",,5.4.4,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-80672-9,Ensure that Root's Path Does Not Include World or Group-Writable Directories,,,"For each element in root&#39;s path, run:
# ls -ld DIR
and ensure that write permissions are disabled for group and
other.","Such entries increase the risk that root could
execute code provided by unprivileged users,
and potentially malicious code.",medium,"CM-6(a),CM-6(a)",,,,Ensure that No Dangerous Directories Exist in Root's Path
CCE-80788-3,Ensure PAM Displays Last Logon/Access Notification,"pam_succeed_if.so service !~ gdm* service !~ su* quiet
session     [default=1]   pam_lastlog.so nowtmp showfailed
session     optional      pam_lastlog.so silent noupdate showfailed",via pam_lastlog,"To configure the system to notify users of last logon/access
using pam_lastlog, add or correct the pam_lastlog settings in
/etc/pam.d/postlogin to read as follows:
session     [success=1 default=ignore] pam_succeed_if.so service !~ gdm* service !~ su* quiet
session     [default=1]   pam_lastlog.so nowtmp showfailed
session     optional      pam_lastlog.so silent noupdate showfailed","Users need to be aware of activity that occurs regarding
their account. Providing users with information regarding the number
of unsuccessful attempts that were made to login to their account
allows the user to determine if any unauthorized activity has occurred
and gives them an opportunity to notify administrators.",low,"AC-9(1),CM-6(a)",,,SRG-OS-000480-GPOS-00227,Protect Accounts by Configuring PAM
CCE-81034-1,Ensure PAM Enforces Password Requirements - Maximum Consecutive Repeating Characters from Same Character Class,4,via /etc/security/pwquality.conf,"The pam_pwquality module&#39;s maxclassrepeat parameter controls requirements for
consecutive repeating characters from the same character class. When set to a positive number, it will reject passwords
which contain more than that number of consecutive characters from the same character class. Modify the
maxclassrepeat setting in /etc/security/pwquality.conf to equal 
to prevent a run of ( + 1) or more identical characters.","Use of a complex password helps to increase the time and resources required to comrpomise the password.
Password complexity, or strength, is a measure of the effectiveness of a password in resisting
attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determines how long it takes to crack a password. The
more complex a password, the greater the number of possible combinations that need to be tested before the
password is compromised.",medium,"CM-6(a),IA-5(1)(a),IA-5(4),IA-5(c)",,,SRG-OS-000072-GPOS-00040,Set Password Quality Requirements with pam_pwquality
CCE-82046-4,Ensure PAM Enforces Password Requirements - Minimum Different Categories,3,via /etc/security/pwquality.conf,"The pam_pwquality module&#39;s minclass parameter controls
requirements for usage of different character classes, or types, of character
that must exist in a password before it is considered valid. For example,
setting this value to three (3) requires that any password must have characters
from at least three different categories in order to be approved. The default
value is zero (0), meaning there are no required classes. There are four
categories available:

* Upper-case characters
* Lower-case characters
* Digits
* Special characters (for example, punctuation)

Modify the minclass setting in /etc/security/pwquality.conf entry
to require 
differing categories of characters when changing passwords.","Use of a complex password helps to increase the time and resources required to compromise the password.
Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts
at guessing and brute-force attacks.

Password complexity is one factor of several that determines how long it takes to crack a password. The
more complex the password, the greater the number of possible combinations that need to be tested before
the password is compromised.

Requiring a minimum number of character categories makes password guessing attacks more difficult
by ensuring a larger search space.",medium,"CM-6(a),IA-5(1)(a),IA-5(4),IA-5(c)",,,SRG-OS-000072-GPOS-00040,Set Password Quality Requirements with pam_pwquality
