Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Version: 5.20130214,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"APPLICATION SERVICES SECURITY CHECKLIST
Version 1, Release 1.1
31 July 2006
Section 3A
App_sService_Checklist_Sec3A_V1R1-1.doc","Apache Software Foundation
Apache Tomcat 4 Documentation","Apache Software Foundation
Apache Tomcat 5.5 Documentation","Tomcat
The Definitive Guide
Ch 6 Tomcat Security
http://oreilly.com/catalog/tomcat/chapter/ch06.pdf"
CCE-27473-8,The Java Security Manager (JSM) should be enabled or disabled as appropriate.,(1) exist/not exist,"(1) 
catalina.policy file under Catalina Home",,"SDID: AST0560 Category: 1  VULID: V0006215
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECRC-1
SDID Description: Application Security Manager is not turned on.
Reference: Application Services STIG, Appendix B.3.5
",,,
CCE-27687-3,Tomcat should be configured to run with or without the Java Security Manager upon startup.,(1) exist/not exist,"(1) 
'-security' command-line parameter on Tomcat startup
-Djava.security.manager command line parameter",,"SDID: AST0560 Category: 1  VULID: V0006215
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECRC-1
SDID Description: Application Security Manager is not turned on.
Reference: Application Services STIG, Appendix B.3.5
",,,
CCE-27749-1,The Tomcat server port number should be set correctly.,(1) port number,"(1) 
'<Server Port = <port number> >' element in server.xml",,"SDID: APS0560 Category: II  VULID: V0012322
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: DCFA-1
SDID Description: Interfaces between the application server and external systems are not identified and secured.
Reference: Application Services STIG, Section 3.2.6
",,,
CCE-27391-2,The Tomcat Legacy JK AJP 1.3 connector should be enabled or disabled as appropriate.,(1) exist/not exist,"(1) 
'<Connector protocolHandlerClassName=""org.apache.ajp.tomcat4.Ajp13Connector"">' element in server.xml",,,http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html,,
CCE-27398-7,The Tomcat Legacy JK AJP 1.3  connectors should listen on the specified ports.,(1) port number,"(1) 
'port' attribute inside
'<Connector protocolHandlerClassName=""org.apache.ajp.tomcat4.Ajp13Connector"">' element in server.xml",,,http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html,,
CCE-27706-1,The Tomcat Legacy HTTP/1.1 connector should be enabled or disabled as appropriate.,(1) exist/not exist,"(1) 
'<Connector protocolHandlerClassName=""org.apache.catalina.connector.http.HttpConnector"">' element in server.xml",,,http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html,,
CCE-27614-7,The Tomcat Legacy HTTP/1.1 connectors should listen on the specified ports.,(1) port number,"(1) 
'port' attribute inside
'<Connector protocolHandlerClassName=""org.apache.catalina.connector.http.HttpConnector"">' element in server.xml",,,http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html,,
CCE-27704-6,The Tomcat login authentication method should be set correctly.,(1) BASIC/FORM/DIGEST/CLIENT_CERT,(1) Value of '<auth-method>' element in web.xml,,"SDID: APS0140 Category: II VULID: V0006202
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: IAIA-1, ECLO-2
SDID Description: Application server’s client authentication process is inadequate.
Reference: Application Services STIG, Appendix B.4.2, B.4.3, B.4.4",,,
CCE-27615-4,Security roles for the Tomcat manager app should be set correctly.,(1) security role name,(1) '<role-name>' element inside '<security-role>' element in the admin.xml file under Tomcat,,"SDID: AST0820 Category: II  VULID:  V0006225
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: Admin and Manager Web Applications are not adequately restrictive.
Reference: Application Services STIG, Section 3.4.1
",,,
CCE-27754-1,Security roles for the Tomcat admin app should be set correctly.,(1) security role name,(1) '<role-name>' element inside '<security-role>' element in the manager.xml file under Tomcat,,"SDID: AST0820 Category: II  VULID:  V0006225
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: Admin and Manager Web Applications are not adequately restrictive.
Reference: Application Services STIG, Section 3.4.1
",,,
CCE-27644-4,Access to the Tomcat Admin app should be denied as appropriate.,(1)  list of IPs,"(1) '<deny>' element inside the '<Valve className=""org.apache.catalina.valves.RemoteAddrValve""/>' element in the admin.xml file under Tomcat",,"SDID: AST0820 Category: II  VULID:  V0006225
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: Admin and Manager Web Applications are not adequately restrictive.
Reference: Application Services STIG, Section 3.4.1
",,,
CCE-27723-6,Access to the Tomcat Admin app should be allowed as appropriate.,(1)  list of IPs,"(1) '<allow>' element inside the '<Valve className=""org.apache.catalina.valves.RemoteAddrValve""/>' element in the admin.xml file under Tomcat",,"SDID: AST0820 Category: II  VULID:  V0006225
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: Admin and Manager Web Applications are not adequately restrictive.
Reference: Application Services STIG, Section 3.4.1
",,,
CCE-27746-7,Access to the Tomcat manager app should be denied as appropriate.,(1)  list of IPs,"(1) '<deny>' element inside the '<Valve className=""org.apache.catalina.valves.RemoteAddrValve""/>' element in the manager.xml file under Tomcat",,"SDID: AST0820 Category: II  VULID:  V0006225
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: Admin and Manager Web Applications are not adequately restrictive.
Reference: Application Services STIG, Section 3.4.1
",,,
CCE-27269-0,Access to the Tomcat manager app should be allowed as appropriate.,(1)  list of IPs,"(1) '<allow>' element inside the '<Valve className=""org.apache.catalina.valves.RemoteAddrValve""/>' element in the manager.xml file under Tomcat",,"SDID: AST0820 Category: II  VULID:  V0006225
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: Admin and Manager Web Applications are not adequately restrictive.
Reference: Application Services STIG, Section 3.4.1
",,,
CCE-27624-6,The owner of the Tomcat home directory should be set correctly.,(1) owner,(1) via chown,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27532-1,The group of the Tomcat home directory should be set correctly.,(1) group,(1) via chgrp,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27751-7,The permissions for the Tomcat home directory should be set correctly.,(1) permissions,(1) via chown,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27524-8,The owner of the Tomcat home/conf/ directory should be set correctly.,(1) owner,(1) via chown,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27747-5,The group of the Tomcat home/conf/ directory should be set correctly.,(1) group,(1) via chgrp,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27376-3,The permissions for the Tomcat home/conf/ directory should be set correctly.,(1) permissions,(1) via chown,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27113-0,The owner of the tomcat-users.xml file should be set correctly.,(1) owner,(1) via chown,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27538-8,The group of the tomcat-users.xml file should be set correctly.,(1) group,(1) via chgrp,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27689-9,The permissions for the tomcat-users.xml file should be set correctly.,(1) permissions,(1) via chown,,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
",,,
CCE-27159-3,The password digest algorithm for JDBCRealm (database) connections should be enabled or disabled as appropriate.,(1) exist/not exist,(1) 'digest' attribute inside '<Realm classname=org.apache.catalina.realm.JDBCRealm>' element in server.xml,,"SDID: AST0310 Category: II VULID:  V0006204
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: Sensitive application data is not adequately protected at rest.
Reference: Application Services STIG, Appendix B.3
",,,
CCE-27760-8,The JDBCRealm (database) password digest algorithm should be set correctly,(1) SHA/MD2/MD5,(1) 'digest' attribute inside '<Realm classname=org.apache.catalina.realm.JDBCRealm>' element in server.xml,,"SDID: AST0310 Category: II VULID:  V0006204
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: Sensitive application data is not adequately protected at rest.
Reference: Application Services STIG, Appendix B.3
",,,
