CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-94415-7,icloud_backup_disabled,Ensure iCloud Backup is set to Disabled,"iCloud backup _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudBackup</key>
<false/>
----

","SC-4
AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-18-003000,3.2.1.4 (level 1 - Institutionally-Owned Devices),2.3,,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K",CCI-001090,medium,
CCE-94421-5,icloud_drive_disable,Ensure Allow iCloud Documents and Data is set to Disabled,"Institutionally owned devices _MUST_ not sync data through iCloud.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudDocumentSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-18-003200,3.2.1.5 (level 1 - Institutionally-Owned Devices),2.3,,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K","CCI-000097
CCI-000366
CCI-000370",medium,
CCE-94566-7,icloud_enterprisebook_metadata_sync_disable,Preventing synchronisation of enterprise book meta data.,"The iOS device _MUST_ be configured to prevent the synchronization of enterprise book meta data to Apple iCloud servers.

Apple's iCloud service does not provide an organization with enough control over the storage and access of data and, therefore, password management and synchronization _MUST_ be controlled by an organization approved service.  
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEnterpriseBookMetadataSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,ANNEX K,,,
CCE-94416-5,icloud_keychain_disable,Disable iCloud Keychain Sync,"The iOS system's ability to automatically synchronize a user's passwords to their iCloud account _MUST_ be disabled. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudKeychainSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-18-003300,3.2.1.6 (level 1 - Institutionally-Owned Devices),"4.1
4.8
15.3",,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K","CCI-000097
CCI-000366
CCI-000370",medium,
CCE-94417-3,icloud_managed_apps_store_data_disabled,Ensure Managed Apps Storing Data in iCloud is Set to Disabled,"Managed Apps _MUST_ not store data in iCloud.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowManagedAppsCloudSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-18-003600,2.2.1.3 (level 1 - End-User Owned Devices)3.2.1.7 (level 1 - Institutionally-Owned Devices),2.3,,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K","CCI-000097
CCI-000366
CCI-000370",medium,
CCE-94418-1,icloud_photo_stream_disable,Ensure Photo Stream is set to Disabled,"If a user is able to configure the security setting, the user could inadvertently or maliciously set it to a value that poses unacceptable risk to DoD information systems. An adversary could exploit vulnerabilities created by the weaker configuration to compromise DoD sensitive information.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPhotoStream</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,,,,,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K","CCI-000097
CCI-000366
CCI-000370",medium,
CCE-94419-9,icloud_photos_disable,Disable iCloud Photo Library,"The iOS built-in Photos.app connection to Apple's iCloud service _MUST_ be disabled.

Apple's iCloud service does not provide an organization with enough control over the storage and access of data and, therefore, automated photo synchronization _MUST_ be controlled by an organization approved service.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudPhotoLibrary</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-18-003450,AIOS-18-003450,"4.1
4.8
15.3",,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K",CCI-000381,medium,
CCE-94420-7,icloud_shared_photo_stream_disable,Ensure Shared Photo Stream is set to Disabled,"If a user is able to configure the security setting, the user could inadvertently or maliciously set it to a value that poses unacceptable risk to DoD information systems. An adversary could exploit vulnerabilities created by the weaker configuration to compromise DoD sensitive information.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowSharedStream</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-18-003500,,,,"ANNEX D (Section 5.4 - iCloud restrictions)
ANNEX K","CCI-000097
CCI-000366
CCI-000370",medium,
CCE-94514-7,os_account_modification_disable,Disallow account modification.,"The iOS devices _MUST_ be configured to prevent the untrained user to change account information.  
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAccountModification</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)",,,,,,,,ANNEX K,,,
CCE-94422-3,os_airdrop_disable,Ensure AirDrop is set to Disabled,"AirDrop _MUST_ be disabled to prevent file transfers to or from unauthorized devices.

AirDrop allows users to share and receive files from other nearby Apple devices. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAirDrop</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)",,,"FMT_SMF_EXT.1.1/WLAN
FMT_SMF_EXT.1.1 #47","AIOS-18-010200
AIOS-18-012500",,,,ANNEX K,"CCI-002536
CCI-000366
CCI-000097
CCI-000370",medium,
